fecha,econ_personal_actual,econ_pais_actual,econ_pais_12m,econ_pais_5a,consumo_hogar,ipec,fecha_dt,año,mes,fecha_str
ABR2019,42.2115516662598,46.3004760742188,49.1816253662109,23.7807788848877,54.4668197631836,43.1882514953613,2019-04-15,2019,4,2019-04
MAY2019,37.9624769006416,42.3477601476259,47.4868509210939,22.00649287496,53.4956948640262,40.6598551416696,2019-05-15,2019,5,2019-05
JUN2019,37.7945442199707,38.1079521179199,42.630012512207,20.4813003540039,49.8300399780273,37.7687683105469,2019-06-15,2019,6,2019-06
JUL2019,38.7727394104004,40.5663261413574,46.37841796875,22.2734031677246,53.2627944946289,40.2507362365723,2019-07-15,2019,7,2019-07
AGO2019,38.1948585510254,39.1253662109375,43.3393707275391,24.4389705657959,52.0028457641602,39.420280456543,2019-08-15,2019,8,2019-08
SEP2019,40.0628929138184,39.5808982849121,42.7024803161621,20.9464855194092,49.4930381774902,38.5571594238281,2019-09-15,2019,9,2019-09
OCT2019,35.7708206176758,37.1545219421387,45.2680549621582,18.7191772460938,46.5472640991211,36.691967010498,2019-10-15,2019,10,2019-10
NOV2019,29.9847354888916,25.7133083343506,38.7073631286621,25.2412071228027,21.90283203125,28.3098888397217,2019-11-15,2019,11,2019-11
DIC2019,29.714038848877,26.5622520446777,36.5991592407227,25.9466972351074,27.967077255249,29.3578453063965,2019-12-15,2019,12,2019-12
ENE2020,33.6642379760742,27.1775970458984,35.9972763061523,24.4293155670166,30.9545211791992,30.4445896148682,2020-01-15,2020,1,2020-01
FEB2020,35.4448890686035,30.4525699615479,37.559944152832,26.0655937194824,33.9413108825684,32.6928634643555,2020-02-15,2020,2,2020-02
MAR2020,31.5606269836426,27.6207962036133,32.0236358642578,23.1178035736084,24.7406959533691,27.8127117156982,2020-03-15,2020,3,2020-03
ABR2020,22.0014764363042,23.3554665455358,28.5609391734047,19.1097955046308,14.9882447653479,21.6031844850447,2020-04-15,2020,4,2020-04
MAY2020,21.5909061431885,21.5431785583496,28.2890968322754,19.7358798980713,14.9479932785034,21.2214107513428,2020-05-15,2020,5,2020-05
JUN2020,17.37353325,17.20301247,31.29063034,20.67375755,15.08110046,20.32440758,2020-06-15,2020,6,2020-06
JUL2020,17.0094223022461,15.0793123245239,34.1641807556152,23.4828357696533,16.357837677002,21.2187175750732,2020-07-15,2020,7,2020-07
AGO2020,23.5984477996826,20.0895156860352,38.2552947998047,20.2108211517334,25.2532444000244,25.4814643859863,2020-08-15,2020,8,2020-08
SEP2020,23.4820594787598,22.3847904205322,38.653923034668,22.1556949615479,26.0297622680664,26.5412464141846,2020-09-15,2020,9,2020-09
OCT2020,26.122953414917,23.6977481842041,38.3243255615234,27.2778816223145,34.1784744262695,29.9202766418457,2020-10-15,2020,10,2020-10
NOV2020,26.5880336761475,25.5031776428223,41.4026565551758,25.8638134002686,28.3753681182861,29.54660987854,2020-11-15,2020,11,2020-11
DIC2020,26.9161529541016,26.1840076446533,37.7016563415527,22.0538463592529,36.3715324401855,29.8454399108887,2020-12-15,2020,12,2020-12
ENE2021,27.7326774597168,27.0488319396973,37.0639381408691,23.1886940002441,32.4121627807617,29.4892616271973,2021-01-15,2021,1,2021-01
FEB2021,29.124719619751,30.4299449920654,43.8523597717285,23.4945220947266,32.967945098877,31.97389793396,2021-02-15,2021,2,2021-02
MAR2021,25.3842391967773,28.6630191802979,39.2748222351074,23.4182758331299,29.2051105499268,29.1890926361084,2021-03-15,2021,3,2021-03
ABR2021,22.900463104248,22.3007621765137,34.1527786254883,23.1066913604736,22.0417289733887,24.900484085083,2021-04-15,2021,4,2021-04
MAY2021,28.9402141571045,27.1027393341064,39.0967750549316,23.9676494598389,30.0487670898438,29.8312282562256,2021-05-15,2021,5,2021-05
JUN2021,33.0792198181152,34.1983833312988,43.7435760498047,23.4509716033936,32.4848480224609,33.3913993835449,2021-06-15,2021,6,2021-06
JUL2021,35.453369140625,38.3371086120605,45.344165802002,30.43874168396,37.4782447814941,37.4103240966797,2021-07-15,2021,7,2021-07
AGO2021,41.9276237487793,40.3582038879395,46.4277648925781,30.0812454223633,37.8570594787598,39.330379486084,2021-08-15,2021,8,2021-08
SEP2021,40.1886711120605,41.5845832824707,44.6783866882324,26.6956920623779,36.1603546142578,37.8615379333496,2021-09-15,2021,9,2021-09
OCT2021,36.2333183288574,35.5556221008301,38.4664001464844,26.1229457855225,34.7871589660645,34.2330894470215,2021-10-15,2021,10,2021-10
NOV2021,38.1511001586914,35.9736061096191,39.6995468139648,21.9558410644531,29.0275478363037,32.9615287780762,2021-11-15,2021,11,2021-11
DIC2021,39.4529724121094,42.3655624389648,48.1754760742188,30.5084667205811,27.3945274353027,37.5793991088867,2021-12-15,2021,12,2021-12
ENE2022,37.7886657714844,41.9930992126465,49.68994140625,31.0984020233154,28.8239288330078,37.8788070678711,2022-01-15,2022,1,2022-01
FEB2022,34.9324951171875,36.0022964477539,43.9357414245605,24.9065074920654,28.1058387756348,33.5765762329102,2022-02-15,2022,2,2022-02
MAR2022,34.4679756164551,32.680721282959,39.4491271972656,30.2236728668213,26.97043800354,32.7583885192871,2022-03-15,2022,3,2022-03
ABR2022,28.8535175323486,23.5511035919189,30.0176868438721,24.2027835845947,21.3185691833496,25.5887317657471,2022-04-15,2022,4,2022-04
